se_code,se_name,margin_vol
601555,东吴证券,11.41
601567,三星医疗,1.00
601568,北元集团,135.24
601579,会稽山,85.57
601588,北辰实业,1.00
601601,中国太保,7.50
601606,长城军工,1.00
601619,嘉泽新能,24.22
601628,中国人寿,1.00
601636,旗滨集团,2.12
601665,齐鲁银行,56.35
601666,平煤股份,17.64
601669,中国电建,733.42
601677,明泰铝业,59.67
601678,滨化股份,1.00
601688,华泰证券,2.71
601689,拓普集团,2.00
601698,中国卫通,28.38
601699,潞安环能,3.00
601700,风范股份,2.29
601702,华峰铝业,6.54
601727,上海电气,5.54
601728,中国电信,148.53
601766,中国中车,1.00
601777,力帆科技,7.60
601778,晶科科技,229.88
601788,光大证券,39.84
601808,中海油服,10.36
601816,京沪高铁,2.37
601825,沪农商行,56.07
601860,紫金银行,20.28
601866,中远海发,6.34
601868,中国能建,310.32
601872,招商轮船,2.57
601877,正泰电器,1.97
601878,浙商证券,12.00
601882,海天精工,5.00
601886,江河集团,1.00
601888,中国中免,1.00
601890,亚星锚链,1.00
601898,中煤能源,1.57
601901,方正证券,1.59
601916,浙商银行,"6,080.00"
601918,新集能源,1.00
601919,中远海控,4.63
601928,凤凰传媒,17.29
601929,吉视传媒,1.00
601933,永辉超市,2.26
601939,建设银行,11.62
601949,中国出版,1.00
601952,苏垦农发,1.00
601965,中国汽研,1.73
601989,中国重工,42.81
601990,南京证券,3.33
601991,大唐发电,379.93
603005,晶方科技,6.51
603008,喜临门,5.30
603010,万盛股份,6.48
603018,华设集团,1.00
603025,大豪科技,1.00
603027,千禾味业,1.28
603033,三维股份,5.00
603035,常熟汽饰,50.00
603043,广州酒家,10.81
603055,台华新材,6.18
603056,德邦股份,30.17
603063,禾望电气,15.78
603087,甘李药业,24.18
603098,森特股份,12.77
603103,横店影视,1.27
603105,芯能科技,6.54
603108,润达医疗,18.95
603113,金能科技,1.00
603118,共进股份,1.00
603128,华贸物流,1.00
603129,春风动力,1.00
603156,养元饮品,4.00
603169,兰石重装,1.00
603179,新泉股份,6.48
603198,迎驾贡酒,10.66
603212,赛伍技术,15.00
603222,济民医疗,14.94
603229,奥翔药业,1.00
603236,移远通信,3.00
603267,鸿远电子,1.84
603279,景津装备,6.44
603298,杭叉集团,7.10
603299,苏盐井神,1.00
603301,振德医疗,3.00
603305,旭升股份,6.26
603306,华懋科技,5.00
603308,应流股份,10.13
603317,天味食品,27.61
603323,苏农银行,1.00
603328,依顿电子,1.00
603338,浙江鼎力,1.00
603348,文灿股份,3.00
603363,傲农生物,1.00
603368,柳药集团,1.00
603387,基蛋生物,1.00
603393,新天然气,1.00
603396,金辰股份,3.28
603416,信捷电气,1.00
603429,集友股份,6.76
603456,九洲药业,6.48
603466,风语筑,5.04
603477,巨星农牧,19.30
603505,金石资源,1.00
603508,思维列控,1.02
603529,爱玛科技,1.00
603530,神马电力,1.00
603565,中谷物流,27.76
603566,普莱柯,10.50
603568,伟明环保,14.59
603583,捷昌驱动,5.00
603588,高能环境,1.00
603596,伯特利,4.00
603599,广信股份,1.00
603601,再升科技,1.00
603606,东方电缆,1.02
603609,禾丰股份,1.00
603612,索通发展,6.34
603626,科森科技,6.90
603636,南威软件,1.18
603650,彤程新材,28.36
